quote;date;month;year
Le « polyphage » Jacques de Falaise (gravure) ingurgitait des noix, des pipes, des cartes roulées, des œufs non écalés, des fleurs avec leur tige, des montres et des animaux vivants, tels des souris, des moineaux, mais aussi des anguilles ou des écrevisses.;2017-02-25;2;2017
En France, les jurys criminels, créés en 1791, ont admis les femmes à partir de 1944 et ont été directement tirés au sort sur les listes électorales à partir de 1980.;2017-02-25;2;2017
Komm, gib mir deine Hand / Sie liebt dich est un 45 tours des Beatles.;2017-02-26;2;2017
La paysanne de Domrémy qui a servi de modèle à la statue équestre de Jeanne d’Arc (photo) située place des Pyramides, à Paris, est morte brûlée vive dans l’incendie de son immeuble.;2017-02-26;2;2017
La France a une frontière commune avec le Royaume des Pays-Bas.;2017-02-26;2;2017
Le plus célèbre portrait (tableau du haut) de Louis Pasteur est l’œuvre d’un peintre finlandais : Albert Edelfelt (tableau du bas).;2017-02-26;2;2017
Le tesseract (animation) est l’analogue quadridimensionnel du cube.;2017-02-27;2;2017
La transcription française Don Quichotte respecte la prononciation espagnole du début du XVIIe siècle.;2017-02-27;2;2017
En 1945, lors de l’opération Corn Flakes, les Alliés ont émis de faux timbres allemands (photo) avec la légende Futsches Reich (« Reich fichu ») au lieu de Deutsches Reich.;2017-02-27;2;2017
"Le savon est un sel ; en solution, c’est un cristal liquide.";2017-02-27;2;2017
Pendant sept mois en 2000, les quatorze autres États membres de l’Union européenne ont cessé toute rencontre bilatérale avec le gouvernement autrichien, imposé des limitations à ses ambassadeurs et ôté tout soutien à des candidats autrichiens à des postes dans les organisations internationales.;2017-02-28;2;2017
Les sismologues préfèrent l’échelle de magnitude de moment à l’échelle de Richter.;2017-02-28;2;2017
En 2011, plusieurs comptes Facebook ont été fermés pour avoir publié sur leur profil la reproduction d’un tableau de 1866 exposé au Musée d’Orsay depuis 1995 (photo).;2017-02-28;2;2017
Au Svalbard, une chambre froide souterraine (photo), installée dans une mine de charbon désaffectée, conserve plus de 800 000 échantillons de graines de 4 000 espèces de plantes vivrières.;2017-02-28;2;2017
En 1822, des Suisses ont fondé une colonie en Russie.;2017-03-01;3;2017
